"euvd_id","aliases","base_score","epss","exploited_since","date_published","date_updated","description"
"EUVD-2012-2077","CVE-2012-2071 GHSA-fq7r-m8m3-5v75","",1.06,"","Aug 14, 2012, 11:00:00 PM","Aug 6, 2024, 7:17:27 PM","Cross-site scripting (XSS) vulnerability in the Contact Forms module 6.x-1.x before 6.x-1.13 for Drupal when the core contact form is enabled, allows remote authenticated users with the administer site-wide contact form permission to inject arbitrary web script or HTML via unspecified vectors."
"EUVD-2012-2073","CVE-2012-2067 GHSA-69cf-fghj-vwjc","",1.53,"","Sep 5, 2012, 12:00:00 AM","Aug 6, 2024, 7:17:27 PM","Unspecified vulnerability in the CKeditor module 6.x-2.x before 6.x-2.3 and the CKEditor module 6.x-1.x before 6.x-1.9 and 7.x-1.x before 7.x-1.7 for Drupal, when the core PHP module is enabled, allows remote authenticated users or remote attackers to execute arbitrary PHP code via the text parameter to a text filter.  NOTE: some of these details are obtained from third party information."
"EUVD-2014-5068","GHSA-ffgv-x7xc-phrj CVE-2014-5170","",3.88,"","Mar 29, 2018, 6:00:00 PM","Aug 6, 2024, 11:34:37 AM","The Storage API module 7.x before 7.x-1.6 for Drupal might allow remote attackers to execute arbitrary code by leveraging failure to update .htaccess file contents after SA-CORE-2013-003."
"EUVD-2014-3650","CVE-2014-3704 GHSA-f9cm-c972-9975","",99.97,"","Oct 16, 2014, 12:00:00 AM","Aug 6, 2024, 10:50:17 AM","The expandArguments function in the database abstraction API in Drupal core 7.x before 7.32 does not properly construct prepared statements, which allows remote attackers to conduct SQL injection attacks via an array containing crafted keys."
"EUVD-2022-3687","GHSA-f4qx-jqfq-7785 CVE-2017-6925","",3.02,"","Jan 15, 2019, 5:00:00 PM","Aug 5, 2024, 3:49:01 PM","In versions of Drupal 8 core prior to 8.3.7; There is a vulnerability in the entity access system that could allow unwanted access to view, create, update, or delete entities. This only affects entities that do not use or do not have UUIDs, and entities that have different access restrictions on different revisions of the same entity."
"EUVD-2022-5528","GHSA-w7qx-vwr9-2j3r CVE-2017-6377","",1.89,"","Mar 16, 2017, 2:00:00 PM","Aug 5, 2024, 3:25:49 PM","When adding a private file via the editor in Drupal 8.2.x before 8.2.7, the editor will not correctly check access for the file being attached, resulting in an access bypass."
"EUVD-2022-5180","GHSA-rhx9-3qf7-r3j7 CVE-2017-6381","",3.9,"","Mar 16, 2017, 2:00:00 PM","Aug 5, 2024, 3:25:49 PM","A 3rd party development library including with Drupal 8 development dependencies is vulnerable to remote code execution. This is mitigated by the default .htaccess protection against PHP execution, and the fact that Composer development dependencies aren't normal installed. You might be vulnerable to this if you are running a version of Drupal before 8.2.2. To be sure you aren't vulnerable, you can remove the <siteroot>/vendor/phpunit directory from your production deployments"
"EUVD-2022-4035","CVE-2017-6379 GHSA-gxxq-fhc7-3jv9","",0.78,"","Mar 16, 2017, 2:00:00 PM","Aug 5, 2024, 3:25:49 PM","Some administrative paths in Drupal 8.2.x before 8.2.7 did not include protection for CSRF. This would allow an attacker to disable some blocks on a site. This issue is mitigated by the fact that users would have to know the block ID."
"EUVD-2022-3597","GHSA-cmmh-8mwp-gq5p CVE-2019-6341","",12.19,"","Mar 26, 2019, 6:04:37 PM","Aug 4, 2024, 8:23:20 PM","In Drupal 7 versions prior to 7.65; Drupal 8.6 versions prior to 8.6.13;Drupal 8.5 versions prior to 8.5.14. Under certain circumstances the File module/subsystem allows a malicious user to upload a file that can trigger a cross-site scripting (XSS) vulnerability."
"EUVD-2019-15903","CVE-2019-6342 GHSA-xq62-62c9-22mg","",1.86,"","May 28, 2020, 8:59:46 PM","Aug 4, 2024, 8:23:20 PM","An access bypass vulnerability exists when the experimental Workspaces module in Drupal 8 core is enabled. This can be mitigated by disabling the Workspaces module. It does not affect any release other than Drupal 8.7.4."
"EUVD-2022-5732","GHSA-x72f-ggjw-v5xh CVE-2020-13664","",2.98,"","May 5, 2021, 2:56:39 PM","Aug 4, 2024, 12:25:16 PM","Arbitrary PHP code execution vulnerability in Drupal Core under certain circumstances. An attacker could trick an administrator into visiting a malicious site that could result in creating a carefully named directory on the file system. With this directory in place, an attacker could attempt to brute force a remote code execution vulnerability. Windows servers are most likely to be affected. This issue affects: Drupal Drupal Core 8.8.x versions prior to 8.8.8; 8.9.x versions prior to 8.9.1; 9.0.1 versions prior to 9.0.1."
"EUVD-2022-5688","CVE-2020-13667 GHSA-x2q9-r8gm-f657","",0.93,"","May 17, 2021, 4:52:34 PM","Aug 4, 2024, 12:25:16 PM","Access bypass vulnerability in of Drupal Core Workspaces allows an attacker to access data without correct permissions. The Workspaces module doesn't sufficiently check access permissions when switching workspaces, leading to an access bypass vulnerability. An attacker might be able to see content before the site owner intends people to see the content. This vulnerability is mitigated by the fact that sites are only vulnerable if they have installed the experimental Workspaces module. This issue affects Drupal Core8.8.X versions prior to 8.8.10; 8.9.X versions prior to 8.9.6; 9.0.X versions prior to 9.0.6."
"EUVD-2022-5673","GHSA-wxqp-jwc9-g39x CVE-2020-13665","",1.28,"","May 5, 2021, 2:14:09 PM","Aug 4, 2024, 12:25:16 PM","Access bypass vulnerability in Drupal Core allows JSON:API when JSON:API is in read/write mode. Only sites that have the read_only set to FALSE under jsonapi.settings config are vulnerable. This issue affects: Drupal Drupal Core 8.8.x versions prior to 8.8.8; 8.9.x versions prior to 8.9.1; 9.0.x versions prior to 9.0.1."
"EUVD-2022-4953","CVE-2020-13688 GHSA-qf2g-mrrx-rr5p","",0.66,"","Jun 11, 2021, 3:08:56 PM","Aug 4, 2024, 12:25:16 PM","Cross-site scripting vulnerability in l Drupal Core allows an attacker could leverage the way that HTML is rendered for affected forms in order to exploit the vulnerability. This issue affects: Drupal Core 8.8.X versions prior to 8.8.10; 8.9.X versions prior to 8.9.6; 9.0.X versions prior to 9.0.6."
"EUVD-2022-4500","CVE-2020-13663 GHSA-m648-hpf8-qcjw","",0.7,"","Jun 11, 2021, 3:07:25 PM","Aug 4, 2024, 12:25:16 PM","Cross Site Request Forgery vulnerability in Drupal Core Form API does not properly handle certain form input from cross-site requests, which can lead to other vulnerabilities."
"EUVD-2022-3971","GHSA-gjqg-9rhv-qj67 CVE-2020-13662","",0.86,"","May 5, 2021, 2:32:03 PM","Aug 4, 2024, 12:25:16 PM","Open Redirect vulnerability in Drupal Core allows a user to be tricked into visiting a specially crafted link which would redirect them to an arbitrary external URL. This issue affects: Drupal Drupal Core 7 version 7.70 and prior versions."
"EUVD-2022-3195","CVE-2020-13666 GHSA-8jj2-x2gc-ggm7","",2.93,"","May 5, 2021, 1:50:13 PM","Aug 4, 2024, 12:25:16 PM","Cross-site scripting vulnerability in Drupal Core. Drupal AJAX API does not disable JSONP by default, allowing for an XSS attack. This issue affects: Drupal Drupal Core 7.x versions prior to 7.73; 8.8.x versions prior to 8.8.10; 8.9.x versions prior to 8.9.6; 9.0.x versions prior to 9.0.6."
"EUVD-2022-1104","GHSA-mmjr-5q74-p3m4 CVE-2020-13670","",1.11,"","Feb 11, 2022, 3:45:22 PM","Aug 4, 2024, 12:25:16 PM","Information Disclosure vulnerability in file module of Drupal Core allows an attacker to gain access to the file metadata of a permanent private file that they do not have access to by guessing the ID of the file. This issue affects: Drupal Core 8.8.x versions prior to 8.8.10; 8.9.x versions prior to 8.9.6; 9.0.x versions prior to 9.0.6."
"EUVD-2022-1096","CVE-2020-13668 GHSA-m6q5-wv4x-fv6h","",0.68,"","Feb 11, 2022, 3:15:14 PM","Aug 4, 2024, 12:25:16 PM","Access Bypass vulnerability in Drupal Core allows for an attacker to leverage the way that HTML is rendered for affected forms in order to exploit the vulnerability. This issue affects: Drupal Core 8.8.x versions prior to 8.8.10; 8.9.x versions prior to 8.9.6; 9.0.x versions prior to 9.0.6."
"EUVD-2022-0950","GHSA-c533-c843-67h8 CVE-2020-13669","",0.64,"","Feb 11, 2022, 3:25:12 PM","Aug 4, 2024, 12:25:16 PM","Cross-site Scripting (XSS) vulnerability in ckeditor of Drupal Core allows attacker to inject XSS. This issue affects: Drupal Core 8.8.x versions prior to 8.8.10.; 8.9.x versions prior to 8.9.6; 9.0.x versions prior to 9.0.6."
"EUVD-2022-0799","CVE-2020-13677 GHSA-3xr3-phjp-g6p2","",1.05,"","Feb 11, 2022, 3:55:12 PM","Aug 4, 2024, 12:25:16 PM","Under some circumstances, the Drupal core JSON:API module does not properly restrict access to certain content, which may result in unintended access bypass. Sites that do not have the JSON:API module enabled are not affected."
"EUVD-2022-0793","CVE-2020-13672 GHSA-3m36-mjwj-352c","",0.67,"","Feb 11, 2022, 3:30:12 PM","Aug 4, 2024, 12:25:16 PM","Cross-site Scripting (XSS) vulnerability in Drupal core's sanitization API fails to properly filter cross-site scripting under certain circumstances. This issue affects: Drupal Core 9.1.x versions prior to 9.1.7; 9.0.x versions prior to 9.0.12; 8.9.x versions prior to 8.9.14; 7.x versions prior to 7.80."
"EUVD-2022-0984","CVE-2022-25271 GHSA-fmfv-x8mp-5767","",1.28,"","Feb 16, 2022, 12:00:00 AM","Aug 3, 2024, 4:36:06 AM","Drupal core's form API has a vulnerability where certain contributed or custom modules' forms may be vulnerable to improper input validation. This could allow an attacker to inject disallowed values or overwrite data. Affected forms are uncommon, but in certain cases an attacker could alter critical or sensitive data."
