"euvd_id","aliases","base_score","epss","exploited_since","date_published","date_updated","description"
"EUVD-2026-31000","CVE-2026-6365 GHSA-f3cj-mjqm-fhvj",6.1,0.24,"","May 19, 2026, 10:27:21 PM","May 20, 2026, 1:35:14 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS).  This issue affects Drupal core: from 8.0.0 before 10.5.9, from 10.6.0 before 10.6.7, from 11.0.0 before 11.2.11, from 11.3.0 before 11.3.7."
"EUVD-2025-9044","CVE-2025-31675 GHSA-m4wj-hhwj-47qp",5.4,0.49,"","Mar 31, 2025, 9:35:20 PM","Apr 2, 2026, 10:35:46 PM","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS).This issue affects Drupal core: from 8.0.0 before 10.3.14, from 10.4.0 before 10.4.5, from 11.0.0 before 11.0.13, from 11.1.0 before 11.1.5. It also affects the Drupal 7 module from versions 7.x-1.0 through 7.x-1.12."
"EUVD-2025-198029","GHSA-m6vv-vcj8-w8m7 CVE-2025-13081",5.9,0.26,"","Nov 18, 2025, 4:54:56 PM","Feb 26, 2026, 4:56:44 PM","Improperly Controlled Modification of Dynamically-Determined Object Attributes vulnerability in Drupal Drupal core allows Object Injection.This issue affects Drupal core: from 8.0.0 before 10.4.9, from 10.5.0 before 10.5.6, from 11.0.0 before 11.1.9, from 11.2.0 before 11.2.8."
"EUVD-2025-198027","CVE-2025-13083 GHSA-mhpg-hpj5-73r2",3.7,0.26,"","Nov 18, 2025, 4:55:37 PM","Jan 16, 2026, 8:14:00 PM","Use of Web Browser Cache Containing Sensitive Information vulnerability in Drupal Drupal core allows Exploiting Incorrectly Configured Access Control Security Levels.This issue affects Drupal core: from 8.0.0 before 10.4.9, from 10.5.0 before 10.5.6, from 11.0.0 before 11.1.9, from 11.2.0 before 11.2.8, from 7.0 before 7.103."
"EUVD-2025-198031","CVE-2025-13080 GHSA-83v7-c2cf-p9c2",5.3,0.32,"","Nov 18, 2025, 4:54:32 PM","Nov 18, 2025, 8:35:16 PM","Improper Check for Unusual or Exceptional Conditions vulnerability in Drupal Drupal core allows Forceful Browsing.This issue affects Drupal core: from 8.0.0 before 10.4.9, from 10.5.0 before 10.5.6, from 11.0.0 before 11.1.9, from 11.2.0 before 11.2.8."
"EUVD-2025-198028","CVE-2025-13082 GHSA-h89p-5896-f4q8",4.3,0.23,"","Nov 18, 2025, 4:55:16 PM","Nov 18, 2025, 8:32:44 PM","User Interface (UI) Misrepresentation of Critical Information vulnerability in Drupal Drupal core allows Content Spoofing.This issue affects Drupal core: from 8.0.0 before 10.4.9, from 10.5.0 before 10.5.6, from 11.0.0 before 11.1.9, from 11.2.0 before 11.2.8."
"EUVD-2022-2184","CVE-2019-6340 GHSA-3gx6-h57h-rm27",8.1,92.02,"Mar 25, 2022, 12:00:00 AM","Feb 21, 2019, 9:00:00 PM","Oct 21, 2025, 11:45:43 PM","Some field types do not properly sanitize data from non-form sources in Drupal 8.5.x before 8.5.11 and Drupal 8.6.x before 8.6.10. This can lead to arbitrary PHP code execution in some cases. A site is only affected by this if one of the following conditions is met: The site has the Drupal 8 core RESTful Web Services (rest) module enabled and allows PATCH or POST requests, or the site has another web services module enabled, like JSON:API in Drupal 8, or Services or RESTful Web Services in Drupal 7. (Note: The Drupal 7 Services module itself does not require an update at this time, but you should apply other contributed updates associated with this advisory if Services is in use.)"
"EUVD-2021-2168","GHSA-68jc-v27h-vhmw CVE-2020-13671",8.8,35.35,"Jan 18, 2022, 12:00:00 AM","Nov 20, 2020, 3:40:39 PM","Oct 21, 2025, 11:35:32 PM","Drupal core does not properly sanitize certain filenames on uploaded files, which can lead to files being interpreted as the incorrect extension and served as the wrong MIME type or executed as PHP for certain hosting configurations. This issue affects: Drupal Drupal Core 9.0 versions prior to 9.0.8, 8.9 versions prior to 8.9.9, 8.8 versions prior to 8.8.11, and 7 versions prior to 7.74."
"EUVD-2025-9043","CVE-2025-31673 GHSA-wpp8-fjgf-pwc7",4.6,0.31,"","Mar 31, 2025, 9:34:16 PM","Apr 29, 2025, 3:47:25 PM","Incorrect Authorization vulnerability in Drupal Drupal core allows Forceful Browsing.This issue affects Drupal core: from 8.0.0 before 10.3.13, from 10.4.0 before 10.4.3, from 11.0.0 before 11.0.12, from 11.1.0 before 11.1.3."
"EUVD-2024-2616","GHSA-mg8j-w93w-xjgc CVE-2024-45440",5.3,9.27,"","Aug 29, 2024, 12:00:00 AM","Apr 21, 2025, 2:58:52 PM","core/authorize.php in Drupal 11.x-dev allows Full Path Disclosure (even when error logging is None) if the value of hash_salt is file_get_contents of a file that does not exist."
"EUVD-2025-9049","GHSA-2qph-q8xw-gv7q CVE-2025-31674",7.5,0.57,"","Mar 31, 2025, 9:34:53 PM","Apr 3, 2025, 5:18:14 PM","Improperly Controlled Modification of Dynamically-Determined Object Attributes vulnerability in Drupal Drupal core allows Object Injection.This issue affects Drupal core: from 8.0.0 before 10.3.13, from 10.4.0 before 10.4.3, from 11.0.0 before 11.0.12, from 11.1.0 before 11.1.3."
"EUVD-2025-9027","GHSA-39g6-x4x8-5jcm CVE-2025-3057",6.1,0.3,"","Mar 31, 2025, 9:33:30 PM","Apr 1, 2025, 1:29:23 PM","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS).This issue affects Drupal core: from 8.0.0 before 10.3.13, from 10.4.0 before 10.4.3, from 11.0.0 before 11.0.12, from 11.1.0 before 11.1.3."
"EUVD-2023-1301","GHSA-g36h-4jr6-qmm9 CVE-2022-25273",7.5,0.57,"","Apr 26, 2023, 12:00:00 AM","Feb 3, 2025, 7:19:17 PM","Drupal core's form API has a vulnerability where certain contributed or custom modules' forms may be vulnerable to improper input validation. This could allow an attacker to inject disallowed values or overwrite data. Affected forms are uncommon, but in certain cases an attacker could alter critical or sensitive data."
"EUVD-2022-6645","CVE-2022-25275 GHSA-xh3v-6f9j-wxw3",7.5,0.67,"","Apr 26, 2023, 12:00:00 AM","Feb 3, 2025, 6:45:50 PM","In some situations, the Image module does not correctly check access to image files not stored in the standard public files directory when generating derivative images using the image styles system. Access to a non-public file is checked only if it is stored in the ""private"" file system. However, some contributed modules provide additional file systems, or schemes, which may lead to this vulnerability. This vulnerability is mitigated by the fact that it only applies when the site sets (Drupal 9) $config['image.settings']['allow_insecure_derivatives'] or (Drupal 7) $conf['image_allow_insecure_derivatives'] to TRUE. The recommended and default setting is FALSE, and Drupal core does not provide a way to change that in the admin UI. Some sites may require configuration changes following this security release. Review the release notes for your Drupal version if you have issues accessing files or image styles after updating."
"EUVD-2022-6493","GHSA-6955-67hm-vjjq CVE-2022-25277",7.2,1.42,"","Apr 26, 2023, 12:00:00 AM","Feb 3, 2025, 6:41:34 PM","Drupal core sanitizes filenames with dangerous extensions upon upload (reference: SA-CORE-2020-012) and strips leading and trailing dots from filenames to prevent uploading server configuration files (reference: SA-CORE-2019-010). However, the protections for these two vulnerabilities previously did not work correctly together. As a result, if the site were configured to allow the upload of files with an htaccess extension, these files' filenames would not be properly sanitized. This could allow bypassing the protections provided by Drupal core's default .htaccess files and possible remote code execution on Apache web servers. This issue is mitigated by the fact that it requires a field administrator to explicitly configure a file field to allow htaccess as an extension (a restricted permission), or a contributed module or custom code that overrides allowed file uploads."
"EUVD-2023-1267","CVE-2022-25278 GHSA-cfh2-7f6h-3m85",6.5,0.59,"","Apr 26, 2023, 12:00:00 AM","Feb 3, 2025, 6:40:32 PM","Under certain circumstances, the Drupal core form API evaluates form element access incorrectly. This may lead to a user being able to alter data they should not have access to. No forms provided by Drupal core are known to be vulnerable. However, forms added through contributed or custom modules or themes may be affected."
"EUVD-2024-3473","GHSA-gvf2-2f4g-jqf4 CVE-2024-55638",9.8,0.96,"","Dec 9, 2024, 11:26:30 PM","Dec 16, 2024, 5:11:20 PM","Deserialization of Untrusted Data vulnerability in Drupal Core allows Object Injection.This issue affects Drupal Core: from 7.0 before 7.102, from 8.0.0 before 10.2.11, from 10.3.0 before 10.3.9.  Drupal core contains a chain of methods that is exploitable when an insecure deserialization vulnerability exists on the site. This so-called gadget chain presents no direct threat but is a vector that can be used to achieve remote code execution if the application deserializes untrusted data due to another vulnerability."
"EUVD-2024-3516","CVE-2024-55637 GHSA-w6rx-9g2x-mg5g",9.8,0.8,"","Dec 9, 2024, 11:25:32 PM","Dec 16, 2024, 5:10:40 PM","Deserialization of Untrusted Data vulnerability in Drupal Core allows Object Injection.This issue affects Drupal Core: from 8.0.0 before 10.2.11, from 10.3.0 before 10.3.9, from 11.0.0 before 11.0.8.  Drupal core contains a chain of methods that is exploitable when an insecure deserialization vulnerability exists on the site. This so-called gadget chain presents no direct threat but is a vector that can be used to achieve remote code execution if the application deserializes untrusted data due to another vulnerability."
"EUVD-2024-3453","CVE-2024-55636 GHSA-938f-5r4f-h65v",9.8,0.9,"","Dec 9, 2024, 11:24:27 PM","Dec 16, 2024, 5:09:36 PM","Deserialization of Untrusted Data vulnerability in Drupal Core allows Object Injection.This issue affects Drupal Core: from 8.0.0 before 10.2.11, from 10.3.0 before 10.3.9, from 11.0.0 before 11.0.8.  Drupal core contains a chain of methods that is exploitable when an insecure deserialization vulnerability exists on the site. This so called gadget chain presents no direct threat, but is a vector that can be used to achieve remote code execution if the application deserializes untrusted data due to another vulnerability."
"EUVD-2024-3443","GHSA-7cwc-fjqm-8vh8 CVE-2024-55634",8.1,0.41,"","Dec 9, 2024, 11:21:15 PM","Dec 11, 2024, 4:39:12 PM","A vulnerability in Drupal Core allows Privilege Escalation.This issue affects Drupal Core: from 8.0.0 before 10.2.11, from 10.3.0 before 10.3.9, from 11.0.0 before 11.0.8."
"EUVD-2024-3449","CVE-2024-12393 GHSA-8mvq-8h2v-j9vf",5.4,0.33,"","Dec 9, 2024, 11:20:31 PM","Dec 11, 2024, 4:37:08 PM","Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Drupal Core allows Cross-Site Scripting (XSS).This issue affects Drupal Core: from 8.8.0 before 10.2.11, from 10.3.0 before 10.3.9, from 11.0.0 before 11.0.8."
"EUVD-2024-52831","CVE-2024-55635 GHSA-3h3p-vm3f-v359",6.1,0.31,"","Dec 9, 2024, 11:23:38 PM","Dec 10, 2024, 9:18:04 PM","Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Drupal Core allows Cross-Site Scripting (XSS).This issue affects Drupal Core: from 7.0 before 7.102."
"EUVD-2024-3524","CVE-2024-11941 GHSA-xq54-x54m-vcpx",7.5,0.46,"","Dec 5, 2024, 2:39:37 PM","Dec 5, 2024, 3:45:37 PM","A vulnerability in Drupal Core allows Excessive Allocation.This issue affects Drupal Core: from 10.2.0 before 10.2.2, from 10.1.0 before 10.1.8."
"EUVD-2024-3428","CVE-2024-11942 GHSA-52jr-x6h6-xj6g",5.9,0.38,"","Dec 5, 2024, 2:42:07 PM","Dec 5, 2024, 3:41:56 PM","A vulnerability in Drupal Core allows File Manipulation.This issue affects Drupal Core: from 10.0.0 before 10.2.10."
"EUVD-2023-2586","GHSA-rjqg-3h9m-fx5x CVE-2023-5256",7.5,0.69,"","Sep 28, 2023, 6:17:43 PM","Sep 23, 2024, 6:25:29 PM","In certain scenarios, Drupal's JSON:API module will output error backtraces. With some configurations, this may cause sensitive information to be cached and made available to anonymous users, leading to privilege escalation.  This vulnerability only affects sites with the JSON:API module enabled, and can be mitigated by uninstalling JSON:API.  The core REST and contributed GraphQL modules are not affected.    "
"EUVD-2014-8568","CVE-2014-8736 GHSA-hm6j-jqfp-qmgr","",1.21,"","Nov 12, 2014, 4:00:00 PM","Sep 17, 2024, 2:32:38 AM","The Open Atrium Core module for Drupal before 7.x-2.22 allows remote attackers to bypass access restrictions and read file attachments that have been removed from a node by leveraging a previous revision of the node."
"EUVD-2022-5594","GHSA-wm86-w3cf-h6vm CVE-2017-6932","",1.17,"","Mar 1, 2018, 10:00:00 PM","Sep 17, 2024, 2:01:26 AM","Drupal core 7.x versions before 7.57 has an external link injection vulnerability when the language switcher block is used. A similar vulnerability exists in various custom and contributed modules. This vulnerability could allow an attacker to trick users into unwillingly navigating to an external site."
"EUVD-2022-2018","CVE-2017-6926 GHSA-2p28-5mvp-2j2r","",1.21,"","Mar 1, 2018, 10:00:00 PM","Sep 17, 2024, 1:06:48 AM","In Drupal versions 8.4.x versions before 8.4.5 users with permission to post comments are able to view content and comments they do not have access to, and are also able to add comments to this content. This vulnerability is mitigated by the fact that the comment system must be enabled and the attacker must have permission to post comments."
"EUVD-2022-2530","GHSA-585j-5449-mf5m CVE-2017-6927","",1.61,"","Mar 1, 2018, 10:00:00 PM","Sep 17, 2024, 12:51:53 AM","Drupal 8.4.x versions before 8.4.5 and Drupal 7.x versions before 7.57 has a Drupal.checkPlain() JavaScript function which is used to escape potentially dangerous text before outputting it to HTML (as JavaScript output does not typically go through Twig autoescaping). This function does not correctly handle all methods of injecting malicious HTML, leading to a cross-site scripting vulnerability under certain circumstances. The PHP functions which Drupal provides for HTML escaping are not affected."
"EUVD-2022-2662","GHSA-5vpr-v24w-mmjj CVE-2017-6929","",1.22,"","Mar 1, 2018, 10:00:00 PM","Sep 16, 2024, 11:36:58 PM","A jQuery cross site scripting vulnerability is present when making Ajax requests to untrusted domains. This vulnerability is mitigated by the fact that it requires contributed or custom modules in order to exploit. For Drupal 8, this vulnerability was already fixed in Drupal 8.4.0 in the Drupal core upgrade to jQuery 3. For Drupal 7, it is fixed in the current release (Drupal 7.57) for jQuery 1.4.4 (the version that ships with Drupal 7 core) as well as for other newer versions of jQuery that might be used on the site, for example using the jQuery Update module."
"EUVD-2022-2727","CVE-2017-6928 GHSA-66mv-q8r2-hj8w","",1.02,"","Mar 1, 2018, 10:00:00 PM","Sep 16, 2024, 11:11:04 PM","Drupal core 7.x versions before 7.57 when using Drupal's private file system, Drupal will check to make sure a user has access to a file before allowing the user to view or download it. This check fails under certain conditions in which one module is trying to grant access to the file and another is trying to deny it, leading to an access bypass vulnerability. This vulnerability is mitigated by the fact that it only occurs for unusual site configurations."
"EUVD-2022-0526","CVE-2019-6339 GHSA-8cw5-rv98-5c46","",33.23,"","Jan 22, 2019, 3:00:00 PM","Sep 16, 2024, 8:06:38 PM","In Drupal Core versions 7.x prior to 7.62, 8.6.x prior to 8.6.6 and 8.5.x prior to 8.5.9; A remote code execution vulnerability exists in PHP's built-in phar stream wrapper when performing file operations on an untrusted phar:// URI. Some Drupal code (core, contrib, and custom) may be performing file operations on insufficiently validated user input, thereby being exposed to this vulnerability. This vulnerability is mitigated by the fact that such code paths typically require access to an administrative permission or an atypical configuration."
"EUVD-2022-4050","GHSA-h377-287m-w2r9 CVE-2017-6921","",1.83,"","Jan 15, 2019, 10:00:00 PM","Sep 16, 2024, 7:47:08 PM","In Drupal 8 prior to 8.3.4; The file REST resource does not properly validate some fields when manipulating files. A site is only affected by this if the site has the RESTful Web Services (rest) module enabled, the file REST resource is enabled and allows PATCH requests, and an attacker can get or register a user account on the site with permissions to upload files and to modify the file resource."
"EUVD-2022-2984","CVE-2017-6931 GHSA-7ffh-cjvg-fpr4","",1.07,"","Mar 1, 2018, 10:00:00 PM","Sep 16, 2024, 7:15:21 PM","In Drupal versions 8.4.x versions before 8.4.5 the Settings Tray module has a vulnerability that allows users to update certain data that they do not have the permissions for. If you have implemented a Settings Tray form in contrib or a custom module, the correct access checks should be added. This release fixes the only two implementations in core, but does not harden against other such bypasses. This vulnerability can be mitigated by disabling the Settings Tray module."
"EUVD-2022-2535","GHSA-58f3-cx8p-h8jg CVE-2017-6922","",1.95,"","Jan 22, 2019, 3:00:00 PM","Sep 16, 2024, 7:04:17 PM","In Drupal core 8.x prior to 8.3.4 and Drupal core 7.x prior to 7.56; Private files that have been uploaded by an anonymous user but not permanently attached to content on the site should only be visible to the anonymous user that uploaded them, rather than all anonymous users. Drupal core did not previously provide this protection, allowing an access bypass vulnerability to occur. This issue is mitigated by the fact that in order to be affected, the site must allow anonymous users to upload files into a private file system."
"EUVD-2019-0782","GHSA-6rmq-x2hv-vxpp CVE-2019-6338","",2.13,"","Jan 22, 2019, 3:00:00 PM","Sep 16, 2024, 6:38:30 PM","In Drupal Core versions 7.x prior to 7.62, 8.6.x prior to 8.6.6 and 8.5.x prior to 8.5.9; Drupal core uses the third-party PEAR Archive_Tar library. This library has released a security update which impacts some Drupal configurations. Refer to CVE-2018-1000888 for details"
"EUVD-2022-3347","GHSA-9c24-g32g-35rj CVE-2017-6920","",20.48,"","Aug 6, 2018, 3:00:00 PM","Sep 16, 2024, 6:33:33 PM","Drupal core 8 before versions 8.3.4 allows remote attackers to execute arbitrary code due to the PECL YAML parser not handling PHP objects safely during certain operations."
"EUVD-2022-2087","GHSA-3327-jr93-7hq3 CVE-2017-6930","",1.29,"","Mar 1, 2018, 10:00:00 PM","Sep 16, 2024, 5:48:09 PM","In Drupal versions 8.4.x versions before 8.4.5 when using node access controls with a multilingual site, Drupal marks the untranslated version of a node as the default fallback for access queries. This fallback is used for languages that do not yet have a translated version of the created node. This can result in an access bypass vulnerability. This issue is mitigated by the fact that it only applies to sites that a) use the Content Translation module; and b) use a node access module such as Domain Access which implement hook_node_access_records()."
"EUVD-2019-0715","GHSA-v3f6-f29f-rgvp CVE-2017-6923","",1.63,"","Jan 22, 2019, 4:00:00 PM","Sep 16, 2024, 5:42:46 PM","In Drupal 8.x prior to 8.3.7 When creating a view, you can optionally use Ajax to update the displayed data via filter parameters. The views subsystem/module did not restrict access to the Ajax endpoint to only views configured to use Ajax. This is mitigated if you have access restrictions on the view. It is best practice to always include some form of access restrictions on all views, even if you are using another module to display them."
"EUVD-2022-4715","GHSA-p8g6-5mg7-9r5q CVE-2017-6924","",2.1,"","Jan 15, 2019, 8:00:00 PM","Sep 16, 2024, 4:57:56 PM","In Drupal 8 prior to 8.3.7; When using the REST API, users without the correct permission can post comments via REST that are approved even if the user does not have permission to post approved comments. This issue only affects sites that have the RESTful Web Services (rest) module enabled, the comment entity REST resource enabled, and where an attacker can access a user account on the site with permissions to post comments, or where anonymous users can post comments."
"EUVD-2007-5571","CVE-2007-5596 GHSA-mrvq-r8g7-548f","",1.63,"","Oct 19, 2007, 11:00:00 PM","Aug 7, 2024, 3:39:13 PM","The core Upload module in Drupal 4.7.x before 4.7.8 and 5.x before 5.3 places the .html extension on a whitelist, which allows remote attackers to conduct cross-site scripting (XSS) attacks by uploading .html files."
"EUVD-2008-4772","CVE-2008-4792 GHSA-8q2j-8pc6-8c5r","",1.28,"","Oct 29, 2008, 3:00:00 PM","Aug 7, 2024, 10:31:27 AM","The core BlogAPI module in Drupal 5.x before 5.11 and 6.x before 6.5 does not properly validate unspecified content fields of an internal Drupal form, which allows remote authenticated users to bypass intended access restrictions via modified field values."
"EUVD-2008-4770","GHSA-p6w6-6v99-r2gr CVE-2008-4790","",1.0,"","Oct 29, 2008, 3:00:00 PM","Aug 7, 2024, 10:31:27 AM","The core upload module in Drupal 5.x before 5.11 allows remote authenticated users to bypass intended access restrictions and read ""files attached to content"" via unknown vectors."
"EUVD-2008-4769","GHSA-4jgw-6462-7fw2 CVE-2008-4789","",0.95,"","Oct 29, 2008, 3:00:00 PM","Aug 7, 2024, 10:31:27 AM","The validation functionality in the core upload module in Drupal 6.x before 6.5 allows remote authenticated users to bypass intended access restrictions and ""attach files to content,"" related to a ""logic error."""
"EUVD-2009-4339","CVE-2009-4371 GHSA-cv5p-xvxc-9fqp","",0.89,"","Dec 21, 2009, 4:00:00 PM","Aug 7, 2024, 7:01:20 AM","Cross-site scripting (XSS) vulnerability in the Locale module (modules/locale/locale.module) in Drupal Core 6.14, and possibly other versions including 6.15, allows remote authenticated users with ""administer languages"" permissions to inject arbitrary web script or HTML via the (1) Language name in English or (2) Native language name fields in the Custom language form."
"EUVD-2009-4338","GHSA-42mr-w3cr-f7h3 CVE-2009-4370","",0.89,"","Dec 21, 2009, 4:00:00 PM","Aug 7, 2024, 7:01:20 AM","Cross-site scripting (XSS) vulnerability in the Menu module (modules/menu/menu.admin.inc) in Drupal Core 6.x before 6.15 allows remote authenticated users with permissions to create new menus to inject arbitrary web script or HTML via a menu description, which is not properly handled in the menu administration overview."
"EUVD-2009-4337","GHSA-3rm3-gj9m-589h CVE-2009-4369","",1.08,"","Dec 21, 2009, 4:00:00 PM","Aug 7, 2024, 7:01:20 AM","Cross-site scripting (XSS) vulnerability in the Contact module (modules/contact/contact.admin.inc or modules/contact/contact.module) in Drupal Core 5.x before 5.21 and 6.x before 6.15 allows remote authenticated users with ""administer site-wide contact form"" permissions to inject arbitrary web script or HTML via the contact category name."
"EUVD-2009-3753","CVE-2009-3781 GHSA-wpp8-x44c-v39q","",2.16,"","Oct 26, 2009, 5:00:00 PM","Aug 7, 2024, 6:38:30 AM","The filefield_file_download function in FileField 6.x-3.1, a module for Drupal, does not properly check node-access permissions for Drupal core private files, which allows remote attackers to access unauthorized files via unspecified vectors."
"EUVD-2011-2704","CVE-2011-2726 GHSA-ph8m-2h2f-qgr2","",1.6,"","Nov 15, 2019, 4:21:51 PM","Aug 6, 2024, 11:08:23 PM","An access bypass issue was found in Drupal 7.x before version 7.5. If a Drupal site has the ability to attach File upload fields to any entity type in the system or has the ability to point individual File upload fields to the private file directory in comments, and the parent node is denied access, non-privileged users can still download the file attached to the comment if they know or guess its direct URL."
